sample,treatment,Inoculum,wet_w,box_w,wet_solo,dry_w,dry_solo,Dry matter%,TotLength(cm),ProjArea(cm2),SurfArea(cm2)...12,AvgDiam(cm)...13,TotLenPerVol(cm/m3)...14,TotRootVolume...15,SurfArea(cm2)...16,AvgDiam(cm)...17,TotLenPerVol(cm/m3)...18,TotRootVolume...19,0.00<.L.<=0.50,0.50<.L.<=1.00,1.00<.L.<=1.50,1.50<.L.<=2.00,L-<=2,L%.<=2,2.00<.L.<=2.50,2.50<.L.<=3.00,3.00<.L.<=3.50,3.50<.L.<=4.00,4.00<.L.<=4.50,.L.>4.50,0.00<.A.<=0.50,0.50<.A.<=1.00,1.00<.A.<=1.50,1.50<.A.<=2.00,2.00<.A.<=2.50,2.50<.A.<=3.00,3.00<.A.<=3.50,3.50<.A.<=4.00,4.00<.A.<=4.50,.A.>4.50,0.00<.V.<=0.50,0.50<.V.<=1.00,1.00<.V.<=1.50,1.50<.V.<=2.00,2.00<.V.<=2.50,2.50<.V.<=3.00,3.00<.V.<=3.50,3.50<.V.<=4.00,4.00<.V.<=4.50,.V.>4.50
NC_151,NT,NI,7.1079,2.3496,4.7583,5.7521,3.4025000000000003,0.7150663051930312,4291.0833,641.5936,2015.6259,0.1502,4270.5148,75.706,2015.6259,0.1502,4270.5148,75.706,643.7168,1198.5346,1163.959,732.372,3738.5824,0.8712444244557078,242.5175,167.7929,43.0831,19.1521,15.8968,64.0388,64.1425,319.7935,491.3566,470.5468,200.4233,173.1623,54.4328,27.1631,26.012,188.593,0.2633,3.6228,8.6323,12.5306,6.8451,7.3787,2.8374,1.5887,1.7553,30.2516
NC_158,NT,NI,11.8473,3.329,8.5183,10.9536,7.624599999999999,0.895084699998826,6911.4935,1313.1706,4125.4471,0.1977,6642.7385,203.885,4125.4471,0.1977,6642.7385,203.885,1460.9711,2004.1023,1320.6847,892.3272,5678.0853,0.8215424495443713,398.4813,343.08,135.0627,71.8457,98.563,186.3969,178.1735,642.2036,683.8711,704.8716,402.2188,434.4608,207.9577,125.7978,198.0518,547.8404,0.8797,8.6133,14.4837,22.6754,16.4842,22.3224,12.9819,8.9272,16.126,80.3911
NC_163,NT,NI,7.0345,2.782,4.2525,5.5257,2.7436999999999996,0.6451969429747206,4895.7073,711.9911,2236.7861,0.1488,4784.7888,83.21,2236.7861,0.1488,4784.7888,83.21,723.3981,1428.2057,1256.2422,856.7143,4264.560299999999,0.8710815493401738,312.9568,152.1293,56.2886,29.87,36.6464,43.2933,71.6476,380.5578,527.3738,547.2495,255.5771,154.9,70.9475,42.4416,59.2642,126.8269,0.3365,4.9508,10.6052,16.6761,9.9249,7.4938,4.2459,2.8629,4.5488,21.5651
NC_165,NT,NI,10.8928,3.4797,7.4131,7.7434,4.2637,0.575157491467807,4548.5407,756.8332,2377.6616,0.1724,4388.9273,102.502,2377.6616,0.1724,4388.9273,102.502,746.9954,1487.0298,1033.5972,674.9931,3942.6155000000003,0.8667869015660343,291.9088,191.694,48.9501,18.4414,18.9442,35.9955,87.7395,468.3511,511.4431,515.3655,283.8125,232.5111,72.4564,30.7847,36.1892,139.0085,0.452,6.665,11.2043,17.3602,12.138,12.3947,4.711,2.2558,3.0343,32.2867
NC_168,NT,NI,9.374,3.1131,6.2609,5.7304,2.6173,0.4180389400884857,5267.2964,733.2731,2303.6453,0.141,5202.14,81.178,2303.6453,0.141,5202.14,81.178,1028.0559,1738.3839,1277.6792,695.4319,4739.5509,0.8998071382502796,246.3502,152.6147,36.055,17.974,17.1252,57.6021,108.141,486.4234,566.0736,473.5403,213.297,165.9498,48.0664,26.7778,29.4877,185.8884,0.4705,5.8084,10.4715,13.4168,7.6589,7.4796,2.6541,1.6513,2.102,29.4651
NC_174,NT,NI,8.297,2.6568,5.6402,6.2556,3.5988,0.6380624800538989,6471.8829,935.0801,2937.6408,0.1468,6370.2859,107.802,2937.6408,0.1468,6370.2859,107.802,1723.9722,1693.8963,1409.1121,915.0247,5742.0053,0.887223299420328,312.7153,183.9416,75.501,43.1478,35.171,79.3919,187.8729,483.3204,650.0366,640.0089,281.0382,207.2122,104.0939,66.8528,62.5413,254.6636,0.7445,5.1871,11.0124,16.3734,9.2089,8.5055,5.2258,3.7695,4.0471,43.7281
NC_178,NT,NI,12.617,3.5646,9.0524,9.648,6.083399999999999,0.6720206795987803,6187.9426,1070.7959,3364.0045,0.1775,6034.1224,149.241,3364.0045,0.1775,6034.1224,149.241,1060.3003,1636.5828,1522.0543,1033.2941,5252.2315,0.848784780259597,348.3251,278.8364,106.5763,73.774,56.7378,71.4194,120.9983,502.4003,736.4438,756.3716,328.5662,329.5278,154.2651,120.1797,106.1281,209.1237,0.647,7.4399,16.8651,26.095,14.5632,18.286,10.4765,9.1821,9.3096,36.3771
NC_183,NT,NI,6.2495,2.8178,3.4317,4.9691,2.1513,0.6268904624530116,4024.4485,738.191,2319.0955,0.1909,3866.6899,110.685,2319.0955,0.1909,3866.6899,110.685,384.365,877.4652,1191.5028,938.1472,3391.4801999999995,0.8427192446368738,236.4196,190.4517,68.8742,38.5661,31.4414,67.1866,41.3801,257.8009,544.7558,654.05,210.5079,210.9329,93.4189,59.648,55.206,191.3951,0.2244,3.9169,12.6763,23.1076,9.4697,11.7916,6.3929,4.6527,4.8871,33.5657
NC_193,NT,NI,8.004,2.4659,5.5381,5.2549,2.789,0.5036023184846788,6384.2836,1002.8951,3150.6878,0.1615,6209.2004,127.223,3150.6878,0.1615,6209.2004,127.223,760.8358,2027.6767,1929.9169,984.0373,5702.4667,0.8932038514078542,281.1612,199.6909,70.0567,42.5905,31.4759,56.8394,83.8697,608.1105,894.5698,694.2506,256.0974,228.2017,97.2611,66.8975,57.2082,164.2213,0.4687,9.4965,21.2138,24.9748,11.8585,13.2483,6.8554,5.3315,5.2757,28.4995
NC_199,NT,NI,9.8038,2.7616,7.042200000000001,6.9115,4.149900000000001,0.5892902786061174,4754.6304,878.3627,2759.4579,0.1944,4518.7371,134.097,2759.4579,0.1944,4518.7371,134.097,771.776,1300.4581,1214.6815,827.3712,4114.2868,0.8653221078971775,262.0247,174.8257,69.4791,30.8356,34.0754,69.0766,95.2405,424.2913,634.4171,659.1347,267.6578,223.29,108.13720000000001,54.6559,69.1303,223.5032,0.5418,6.5908,15.427,24.3509,12.6409,13.1748,7.7702,4.4709,6.4711,42.659
